Students	10000
1363	7 29 23 27
1364	8 7 28 37
1365	14 6 24 9
1366	20 30 12 25
1367	11 32 35 16
1368	18 14 36 27
1369	3 35 39 11
1370	2 22 11 20
1371	39 31 17 40
1372	8 36 24 31
1373	17 11 14 39
1374	39 30 15 5
1375	9 23 16 30
1376	11 40 24 1
1377	8 25 19 10
1378	5 30 40 3
1379	26 33 14 28
1380	11 9 34 21
1381	11 13 28 32
1382	9 23 12 34
1383	29 21 33 39
1384	28 14 23 40
1385	20 22 5 15
1386	9 20 37 19
1387	4 19 10 3
1388	39 1 27 28
1389	16 10 2 4
1390	31 36 22 1
1391	22 7 39 37
1392	37 11 32 20
1393	35 21 28 40
1394	11 1 9 29
1395	8 32 1 7
1396	11 17 40 16
1397	3 13 7 17
1398	16 1 28 10
1399	35 21 23 3
1400	28 31 15 38
1401	37 10 18 26
1402	39 8 40 22
1403	17 11 12 9
1404	3 38 30 26
1405	40 19 5 14
1406	19 35 25 34
1407	32 19 36 11
1408	13 25 29 2
1409	16 11 18 35
1410	18 9 19 12
1411	33 19 8 24
1412	25 18 8 1
1413	36 28 8 33
1414	13 35 3 4
1415	27 17 19 37
1416	29 7 34 12
1417	13 19 25 10
1418	30 33 21 1
1419	2 33 1 28
1420	24 33 11 36
1421	35 12 38 28
1422	34 38 35 4
1423	36 1 8 9
1424	18 25 26 16
1425	8 3 12 27
1426	29 16 4 9
1427	17 22 23 18
1428	24 32 31 7
1429	25 37 2 16
1430	34 2 31 13
1431	5 7 26 23
1432	26 12 38 10
1433	4 22 8 2
1434	24 1 16 28
1435	6 17 12 1
1436	9 37 11 28
1437	31 15 10 20
1438	6 19 16 24
1439	11 16 10 23
1440	31 11 37 34
1441	16 33 10 35
1442	31 23 9 2
1443	19 28 2 8
1444	14 35 16 24
1445	5 17 37 25
1446	36 2 38 39
1447	20 1 36 17
1448	34 2 38 18
1449	26 10 3 15
1450	32 34 10 22
1451	9 22 31 11
1452	33 15 37 22
1453	29 13 39 4
1454	32 20 27 13
1455	30 27 33 13
1456	33 35 21 37
1457	5 40 24 21
1458	33 8 28 25
1459	24 17 28 23
1460	32 18 14 30
1461	39 32 35 36
1462	24 10 27 19
1463	28 38 4 10
1464	34 39 40 21
1465	17 21 25 19
1466	29 8 28 4
1467	38 29 37 23
1468	12 33 38 22
1469	9 3 13 36
1470	6 39 3 19
1471	26 27 3 23
1472	38 35 37 23
1473	8 36 23 10
1474	3 33 22 7
1475	32 27 38 1
1476	10 23 1 8
1477	37 22 35 29
1478	40 10 7 29
1479	35 33 19 27
1480	29 17 2 23
1481	40 31 1 9
1482	14 23 35 22
1483	10 23 37 38
1484	35 10 16 33
1485	29 11 3 39
1486	34 21 2 35
1487	22 39 37 26
1488	34 4 36 38
1489	30 14 4 37
1490	13 25 33 11
1491	10 34 32 6
1492	17 7 5 23
1493	31 21 38 4
1494	34 4 18 40
1495	30 4 19 3
1496	2 29 32 15
1497	29 40 26 10
1498	35 31 26 27
1499	2 33 32 15
1500	34 28 20 40
1501	35 26 24 16
1502	14 22 4 19
1503	25 39 22 11
1504	28 25 23 17
1505	36 22 17 7
1506	12 38 25 4
1507	7 31 14 35
1508	25 40 30 28
1509	25 5 20 14
1510	23 35 28 12
1511	35 8 34 6
1512	18 10 6 34
1513	3 33 22 5
1514	28 12 33 16
1515	30 9 35 16
1516	6 10 38 40
1517	23 6 1 4
1518	31 37 19 39
1519	36 21 33 38
1520	33 21 26 2
1521	21 6 25 20
1522	29 30 20 14
1523	19 34 38 32
1524	33 31 19 27
1525	12 20 29 11
1526	32 34 20 28
1527	18 20 6 21
1528	14 24 23 40
1529	32 24 14 36
1530	10 18 24 14
1531	15 40 33 14
1532	3 12 11 8
1533	36 20 12 13
1534	13 22 20 19
1535	15 26 39 35
1536	12 20 8 31
1537	4 1 11 26
1538	28 15 14 33
1539	10 7 40 33
1540	21 37 15 14
1541	24 25 27 17
1542	5 21 14 40
1543	30 2 32 23
1544	11 18 24 25
1545	8 39 37 14
1546	1 39 36 9
1547	37 22 15 16
1548	40 13 34 31
1549	3 31 11 6
1550	8 5 22 33
1551	2 12 17 14
1552	17 11 4 36
1553	3 34 18 7
1554	17 4 13 16
1555	25 17 31 14
1556	8 34 25 29
1557	18 22 31 38
1558	29 34 4 8
1559	27 25 3 11
1560	12 33 3 24
1561	23 21 20 4
1562	25 20 27 14
1563	26 10 17 39
1564	7 36 17 6
1565	7 18 39 30
1566	13 31 5 17
1567	32 8 11 9
1568	35 24 16 3
1569	38 27 4 3
1570	36 19 1 3
1571	33 19 12 37
1572	26 5 20 18
1573	40 7 1 10
1574	17 19 2 1
1575	19 22 38 20
1576	20 11 34 4
1577	2 35 3 40
1578	16 4 24 7
1579	15 24 12 4
1580	35 25 7 30
1581	8 29 17 40
1582	21 23 14 4
1583	20 6 31 8
1584	9 18 12 24
1585	22 31 26 20
1586	22 23 14 19
1587	15 14 23 10
1588	28 9 4 21
1589	10 23 30 21
1590	26 8 11 36
1591	35 17 7 34
1592	3 2 17 32
1593	27 5 26 16
1594	9 32 6 27
1595	27 3 8 7
1596	18 19 25 40
1597	8 24 23 28
1598	16 24 37 14
1599	4 30 8 16
1600	34 19 21 22
1601	28 19 3 15
1602	12 17 19 21
1603	5 20 30 8
1604	40 37 20 8
1605	6 33 22 19
1606	12 24 13 30
1607	29 3 34 38
1608	37 23 8 38
1609	8 1 14 5
1610	34 8 21 15
1611	31 13 36 7
1612	1 24 2 18
1613	26 19 23 5
1614	9 23 20 36
1615	27 15 38 34
1616	37 7 23 39
1617	10 29 30 15
1618	6 35 18 5
1619	31 4 2 39
1620	19 16 12 39
1621	28 32 6 4
1622	19 27 15 35
1623	37 19 29 17
1624	5 2 9 23
1625	14 9 21 19
1626	23 18 38 13
1627	33 4 35 18
1628	22 36 13 30
1629	30 9 18 36
1630	16 7 4 39
1631	5 19 6 11
1632	19 2 33 20
1633	17 10 40 36
1634	1 33 30 19
1635	26 25 32 30
1636	31 8 25 16
1637	23 39 9 36
1638	24 28 18 36
1639	1 7 9 2
1640	10 16 34 17
1641	4 18 11 31
1642	24 33 27 17
1643	40 21 22 6
1644	35 12 40 22
1645	33 16 22 5
1646	22 19 12 39
1647	26 22 37 13
1648	35 2 23 8
1649	2 19 39 27
1650	21 36 29 35
1651	7 16 23 1
1652	21 14 10 4
1653	13 11 27 24
1654	9 26 39 12
1655	39 1 32 22
1656	32 13 40 26
1657	37 6 36 29
1658	3 34 26 20
1659	27 37 6 25
1660	6 30 26 40
1661	36 22 35 29
1662	9 31 33 20
1663	6 19 14 37
1664	3 6 10 40
1665	32 25 13 15
1666	20 5 34 2
1667	8 21 33 23
1668	17 34 9 20
1669	20 25 3 10
1670	39 1 31 2
1671	31 19 21 12
1672	1 12 15 11
1673	17 19 24 18
1674	2 6 25 7
1675	15 6 13 4
1676	27 7 23 25
1677	15 22 14 5
1678	19 37 35 36
1679	5 25 32 3
1680	3 11 40 23
1681	17 22 2 16
1682	26 18 32 20
1683	18 17 10 34
1684	18 19 22 34
1685	14 22 21 19
1686	12 9 24 21
1687	10 39 25 24
1688	1 18 33 5
1689	19 12 26 23
1690	12 40 31 25
1691	7 21 33 16
1692	10 37 6 13
1693	19 28 21 9
1694	11 35 13 7
1695	5 34 10 23
1696	6 21 27 3
1697	21 5 24 38
1698	24 14 33 2
1699	34 11 35 17
1700	14 26 33 17
1701	38 16 13 37
1702	35 31 20 5
1703	32 28 13 8
1704	27 39 38 12
1705	29 37 40 27
1706	40 6 30 13
1707	15 14 25 18
1708	31 29 34 11
1709	36 29 28 15
1710	40 32 39 33
1711	14 40 26 30
1712	28 25 37 34
1713	15 22 30 20
1714	34 9 21 4
1715	39 38 30 19
1716	34 31 37 39
1717	18 27 34 2
1718	38 3 31 11
1719	2 14 22 1
1720	36 13 27 31
1721	21 6 24 38
1722	17 26 3 7
1723	27 6 32 26
1724	40 16 37 3
1725	8 34 7 4
1726	23 16 4 14
1727	40 21 23 36
1728	21 23 32 9
1729	3 38 2 5
1730	36 34 8 18
1731	23 22 17 33
1732	9 34 33 7
1733	29 4 8 32
1734	5 2 32 40
1735	9 25 38 13
1736	5 39 7 19
1737	2 30 33 7
1738	25 19 12 34
1739	34 13 10 15
1740	16 26 19 34
1741	6 30 36 13
1742	30 11 36 8
1743	18 38 15 39
1744	32 14 39 13
1745	19 20 30 10
1746	34 16 40 35
1747	1 24 27 26
1748	33 4 30 8
1749	35 28 15 1
1750	24 33 18 29
1751	27 29 31 1
1752	23 9 35 24
1753	3 38 5 16
1754	8 40 31 37
1755	1 34 22 37
1756	14 31 32 38
1757	31 4 40 3
1758	15 30 36 23
1759	34 40 24 39
1760	7 13 36 6
1761	35 4 8 18
1762	1 26 20 29
1763	4 10 16 36
1764	23 39 25 38
1765	29 38 19 10
1766	39 37 12 36
1767	12 11 40 4
1768	27 35 19 22
1769	29 11 19 8
1770	30 14 11 12
1771	4 15 20 1
1772	13 30 36 4
1773	16 30 36 14
1774	4 9 23 15
1775	18 15 30 3
1776	23 24 38 12
1777	4 24 10 30
1778	21 38 1 24
1779	10 5 4 37
1780	23 39 18 24
1781	31 28 37 4
1782	27 30 22 38
1783	30 20 40 18
1784	2 4 16 15
1785	7 1 35 22
1786	23 32 24 8
1787	24 14 19 9
1788	5 10 7 37
1789	14 7 4 2
1790	30 9 36 27
1791	16 39 34 3
1792	31 24 32 23
1793	21 4 14 28
1794	34 17 12 13
1795	37 10 14 7
1796	24 5 18 19
1797	33 12 5 14
1798	28 4 15 8
1799	36 15 26 18
1800	11 28 16 13
1801	33 5 29 13
1802	2 32 9 31
1803	30 18 38 25
1804	23 9 29 33
1805	24 26 39 16
1806	10 22 27 21
1807	38 30 20 19
1808	28 36 18 11
1809	38 9 13 11
1810	26 1 5 33
1811	24 25 17 30
1812	27 39 5 34
1813	36 24 10 32
1814	18 13 40 6
1815	29 37 6 39
1816	16 13 12 8
1817	23 33 2 30
1818	16 31 11 40
1819	25 3 2 35
1820	24 23 40 21
1821	38 6 4 20
1822	22 8 27 14
1823	4 8 11 25
1824	15 37 28 19
1825	17 16 38 2
1826	20 6 17 3
1827	31 12 21 17
1828	28 25 13 5
1829	6 26 25 37
1830	32 36 21 9
1831	8 3 22 15
1832	8 31 40 24
1833	9 18 5 8
1834	3 33 16 36
1835	5 10 22 27
1836	10 14 29 16
1837	11 8 35 30
1838	8 11 17 16
1839	34 19 29 8
1840	32 22 38 11
1841	2 34 12 40
1842	4 14 34 38
1843	32 30 10 40
1844	8 22 27 29
1845	20 31 11 30
1846	4 31 7 17
1847	14 16 28 35
1848	25 3 37 13
1849	40 5 39 25
1850	4 17 11 19
1851	16 10 36 1
1852	3 16 1 19
1853	17 37 18 2
1854	2 24 11 35
1855	6 3 37 20
1856	39 37 30 36
1857	11 40 15 35
1858	16 34 17 4
1859	14 2 35 40
1860	28 32 22 7
1861	7 29 36 10
1862	10 13 14 3
1863	19 26 21 24
1864	21 40 8 1
1865	19 20 39 8
1866	9 32 29 2
1867	30 27 3 19
1868	26 29 13 25
1869	29 31 11 36
1870	10 23 38 33
1871	25 3 9 40
1872	16 27 6 7
1873	23 30 27 18
1874	9 22 35 3
1875	3 25 12 16
1876	36 38 5 12
1877	1 40 6 30
1878	33 4 20 15
1879	36 33 24 29
1880	12 26 23 39
1881	18 30 24 1
1882	14 34 17 38
1883	5 38 1 24
1884	22 10 6 19
1885	19 37 1 18
1886	19 1 35 32
1887	40 8 33 20
1888	10 2 19 11
1889	10 22 24 27
1890	12 2 21 7
1891	25 17 19 15
1892	34 17 27 23
1893	13 21 39 18
1894	11 35 29 17
1895	2 10 22 29
1896	18 21 19 27
1897	6 8 23 9
1898	14 13 9 11
1899	17 31 34 21
1900	27 12 22 26
1901	33 2 26 7
1902	30 23 38 22
1903	4 3 39 12
1904	3 31 29 38
1905	18 1 3 28
1906	6 34 23 19
1907	13 38 28 25
1908	21 5 18 31
1909	4 18 9 34
1910	39 21 4 28
1911	25 19 34 31
1912	29 13 11 5
1913	1 18 3 13
1914	15 35 39 22
1915	33 25 31 20
1916	38 28 32 1
1917	40 24 36 15
1918	39 25 12 36
1919	4 5 28 19
1920	14 31 24 5
1921	27 11 30 37
1922	28 25 18 16
1923	37 21 22 6
1924	27 11 16 13
1925	37 10 21 11
1926	32 13 35 15
1927	6 38 19 26
1928	22 40 28 15
1929	34 7 21 24
1930	35 30 24 6
1931	22 4 9 14
1932	2 17 11 5
1933	39 24 40 32
1934	30 9 1 39
1935	5 4 15 7
1936	33 28 22 3
1937	14 26 23 5
1938	3 39 18 33
1939	17 36 2 14
1940	26 20 39 4
1941	18 2 30 37
1942	20 33 38 16
1943	39 21 35 19
1944	23 14 16 30
1945	35 3 30 6
1946	11 17 2 13
1947	32 19 29 31
1948	1 13 40 20
1949	28 2 36 25
1950	7 27 12 6
1951	33 15 35 28
1952	5 38 32 26
1953	24 13 26 36
1954	15 19 26 39
1955	40 6 24 33
1956	8 19 21 9
1957	16 24 25 2
1958	40 28 38 5
1959	12 6 14 35
1960	34 30 12 24
1961	12 40 1 11
1962	22 37 19 20
1963	22 16 36 17
1964	6 32 39 33
1965	26 27 6 13
1966	39 36 16 17
1967	33 35 28 8
1968	10 25 37 38
1969	15 24 6 35
1970	5 2 24 10
1971	8 37 29 33
1972	35 18 33 24
1973	3 7 4 1
1974	26 18 30 2
1975	30 38 8 25
1976	30 27 36 22
1977	25 4 1 36
1978	14 26 37 25
1979	30 7 37 25
1980	21 9 32 29
1981	33 31 7 15
1982	12 1 3 24
1983	21 10 34 5
1984	12 40 6 37
1985	14 40 23 26
1986	29 26 22 30
1987	14 2 15 20
1988	23 36 27 37
1989	16 3 32 1
1990	36 7 24 4
1991	29 10 37 34
1992	36 39 35 18
1993	2 18 8 14
1994	37 28 24 2
1995	3 1 11 8
1996	27 12 5 15
1997	12 7 14 18
1998	24 31 36 35
1999	5 11 36 35
2000	23 3 15 18
2001	30 33 34 6
2002	29 33 27 32
2003	30 33 4 1
2004	26 4 34 36
2005	28 16 23 17
2006	4 13 27 30
2007	2 29 34 31
2008	30 5 8 3
2009	28 2 5 23
2010	16 14 20 8
2011	30 35 12 36
2012	31 28 4 11
2013	6 38 27 21
2014	13 26 39 31
2015	32 7 40 28
2016	40 34 19 3
2017	17 14 25 11
2018	33 4 9 39
2019	39 36 24 26
2020	37 40 10 36
2021	6 13 8 10
2022	30 6 26 19
2023	19 6 38 7
2024	21 4 35 39
2025	4 3 29 10
2026	14 20 6 17
2027	13 24 26 30
2028	10 20 27 18
2029	23 35 1 14
2030	8 32 40 22
2031	6 17 40 19
2032	39 14 25 23
2033	15 36 12 8
2034	20 1 16 30
2035	28 24 25 8
2036	35 26 39 30
2037	3 35 20 7
2038	3 7 23 29
2039	40 29 24 3
2040	32 35 37 11
2041	37 6 30 4
2042	7 38 9 6
2043	16 5 17 20
2044	8 14 18 21
2045	23 10 27 30
2046	37 7 8 19
2047	19 9 23 3
2048	4 24 34 15
2049	33 14 21 34
2050	35 28 2 5
2051	31 28 8 15
2052	15 28 11 22
2053	13 38 28 20
2054	17 35 25 22
2055	25 32 17 29
2056	28 15 12 40
2057	29 33 30 16
2058	17 15 26 40
2059	36 34 17 10
2060	3 25 1 4
2061	10 1 36 3
2062	22 4 6 14
2063	30 15 22 11
2064	16 24 28 2
2065	38 19 18 14
2066	17 24 26 35
2067	2 19 17 7
2068	12 39 9 33
2069	7 21 1 33
2070	13 40 11 31
2071	34 15 8 37
2072	10 12 17 20
2073	38 26 24 16
2074	31 23 28 15
2075	14 16 12 1
2076	13 40 28 2
2077	34 28 12 5
2078	25 10 20 23
2079	3 5 39 7
2080	24 6 10 35
2081	32 35 6 2
2082	9 25 22 12
2083	22 20 38 1
2084	30 12 38 27
2085	10 7 23 22
2086	32 10 23 26
2087	31 18 22 9
2088	16 18 4 19
2089	28 30 16 23
2090	15 30 17 39
2091	9 22 29 37
2092	19 22 3 4
2093	29 30 15 7
2094	4 6 23 9
2095	23 22 26 20
2096	9 7 6 25
2097	1 17 26 40
2098	13 40 30 22
2099	22 32 4 33
2100	21 29 24 14
2101	4 27 15 7
2102	14 1 9 40
2103	19 35 24 17
2104	15 19 1 13
2105	40 14 10 1
2106	10 24 37 17
2107	12 13 17 34
2108	4 29 36 32
2109	6 7 5 37
2110	36 25 7 24
2111	34 38 15 10
2112	9 3 2 6
2113	3 25 27 14
2114	5 3 16 26
2115	4 12 25 39
2116	2 8 1 37
2117	8 13 4 1
2118	33 8 10 29
2119	26 8 24 13
2120	15 3 33 21
2121	30 17 27 6
2122	15 22 3 8
2123	8 18 16 17
2124	19 7 18 10
2125	30 5 31 24
2126	24 36 25 20
2127	19 35 20 6
2128	20 38 22 16
2129	23 28 30 13
2130	21 27 15 16
2131	14 40 11 20
2132	8 29 9 28
2133	17 9 36 2
2134	19 7 13 5
2135	18 30 32 5
2136	31 7 18 11
2137	5 16 40 8
2138	10 23 6 21
2139	3 2 19 6
2140	11 1 15 29
2141	37 14 25 39
2142	18 32 15 8
2143	37 29 22 11
2144	30 23 3 29
2145	17 24 30 20
2146	11 23 33 39
2147	10 5 38 34
2148	30 33 8 34
2149	16 7 33 40
2150	22 9 25 17
2151	35 8 23 26
2152	18 30 27 14
2153	17 2 15 35
2154	17 20 24 10
2155	4 14 23 28
2156	28 2 14 23
2157	8 11 39 2
2158	22 37 11 1
2159	14 16 13 11
2160	21 36 32 13
2161	30 35 21 36
2162	10 3 20 2
2163	16 26 6 11
2164	29 18 22 1
2165	24 29 4 28
2166	38 5 26 9
2167	24 30 8 9
2168	34 8 26 5
2169	16 23 28 15
2170	39 25 5 6
2171	16 2 10 7
2172	32 37 35 8
2173	35 23 37 9
2174	1 40 8 5
2175	12 37 8 31
2176	22 39 25 4
2177	13 29 16 30
2178	12 19 6 40
2179	40 32 10 4
2180	39 33 35 38
2181	19 25 27 17
2182	38 36 30 21
2183	35 29 16 9
2184	32 21 5 4
2185	4 28 5 20
2186	33 34 9 6
2187	16 35 2 18
2188	35 9 30 15
2189	16 12 25 9
2190	21 28 12 37
2191	23 33 26 34
2192	18 34 8 27
2193	40 1 17 25
2194	15 32 20 24
2195	12 11 7 30
2196	31 25 6 18
2197	19 15 22 39
2198	24 27 13 11
2199	31 18 27 9
2200	3 30 20 16
2201	10 8 39 35
2202	34 32 37 26
2203	21 32 37 12
2204	4 9 39 5
2205	28 15 13 32
2206	17 37 38 2
2207	33 24 14 17
2208	33 23 13 38
2209	33 28 27 36
2210	30 10 40 36
2211	15 13 4 26
2212	4 31 24 9
2213	13 32 20 27
2214	18 35 29 1
2215	18 16 34 27
2216	2 37 25 26
2217	22 33 14 3
2218	32 35 5 14
2219	1 30 11 16
2220	22 4 38 21
2221	6 40 30 32
2222	25 8 12 6
2223	13 39 31 28
2224	36 20 13 40
2225	26 3 5 17
2226	29 32 23 6
2227	39 13 12 9
2228	2 28 20 25
2229	13 9 30 29
2230	32 6 8 30
2231	8 13 36 4
2232	36 23 28 11
2233	23 3 4 18
2234	20 3 27 40
2235	3 20 36 19
2236	18 30 36 29
2237	6 17 32 11
2238	23 11 38 16
2239	35 34 25 38
2240	37 40 1 9
2241	38 14 35 32
2242	12 35 25 1
2243	39 32 23 13
2244	7 34 21 29
2245	14 35 3 16
2246	19 23 30 8
2247	28 7 16 27
2248	24 16 33 2
2249	28 7 12 23
2250	40 21 18 15
2251	4 16 6 38
2252	30 19 1 34
2253	36 13 26 5
2254	6 33 32 9
2255	34 29 30 35
2256	2 5 31 37
2257	11 35 18 32
2258	27 14 26 1
2259	38 30 37 29
2260	8 21 2 34
2261	2 27 4 14
2262	14 23 21 9
2263	16 34 28 38
2264	12 1 27 19
2265	37 9 31 38
2266	1 22 17 15
2267	3 20 24 30
2268	10 26 32 25
2269	20 27 33 15
2270	22 14 12 10
2271	39 35 40 17
2272	15 18 22 31
2273	3 13 12 24
2274	16 24 20 5
2275	40 6 28 23
2276	2 30 24 11
2277	10 4 34 16
2278	39 21 9 19
2279	24 32 1 3
2280	8 13 3 25
2281	13 15 33 18
2282	32 18 1 17
2283	27 1 3 19
2284	31 4 37 38
2285	31 35 6 18
2286	10 17 28 3
2287	32 5 34 13
2288	18 9 11 35
2289	14 4 18 40
2290	5 37 17 32
2291	10 32 24 36
2292	35 34 8 4
2293	4 35 33 11
2294	32 29 25 18
2295	20 12 23 16
2296	26 33 25 7
2297	27 23 25 35
2298	5 7 32 38
2299	21 14 9 16
2300	5 19 33 7
2301	22 10 28 5
2302	36 22 9 15
2303	25 31 7 16
2304	33 15 39 6
2305	4 29 22 12
2306	24 8 35 14
2307	6 1 29 21
2308	37 32 21 33
2309	26 28 11 13
2310	13 22 12 8
2311	17 10 38 33
2312	20 28 35 12
2313	36 16 5 9
2314	26 2 6 5
2315	18 22 16 23
2316	3 14 16 30
2317	37 15 22 30
2318	36 22 33 6
2319	37 15 14 23
2320	32 4 21 2
2321	32 2 23 26
2322	26 39 3 24
2323	20 16 8 28
2324	7 22 36 13
2325	29 16 32 9
2326	18 9 10 22
2327	11 21 2 7
2328	37 18 7 4
2329	9 7 29 6
2330	20 27 12 11
2331	39 26 16 29
2332	18 27 28 3
2333	27 5 13 35
2334	29 26 10 20
2335	23 16 5 22
2336	26 10 27 34
2337	26 4 38 3
2338	2 5 17 40
2339	13 8 11 4
2340	21 26 6 11
2341	39 29 27 35
2342	30 32 23 15
2343	35 26 9 33
2344	9 30 26 10
2345	35 38 24 25
2346	24 29 37 32
2347	3 31 26 33
2348	15 8 17 12
2349	25 26 15 33
2350	29 23 25 10
2351	22 9 33 2
2352	33 18 25 32
2353	34 26 32 10
2354	29 15 38 3
2355	11 40 37 24
2356	20 13 19 21
2357	35 15 6 2
2358	37 24 18 27
2359	9 37 14 32
2360	38 39 13 37
2361	20 32 4 16
2362	22 2 37 25
2363	5 30 1 12
2364	9 38 14 37
2365	34 35 27 1
2366	37 19 38 22
2367	15 40 29 21
2368	31 5 3 23
2369	8 29 18 19
2370	10 40 7 24
2371	3 14 40 11
2372	24 8 10 12
2373	23 11 31 34
2374	29 15 14 1
2375	34 39 1 37
2376	1 28 34 32
2377	21 5 26 18
2378	23 40 39 34
2379	32 33 3 21
2380	23 26 10 11
2381	15 35 37 20
2382	13 9 18 40
2383	12 7 25 2
2384	14 35 37 8
2385	35 40 29 25
2386	14 31 38 34
2387	32 2 11 29
2388	25 30 10 26
2389	31 27 3 18
2390	34 12 10 31
2391	9 23 10 16
2392	29 27 26 10
2393	20 31 36 23
2394	12 31 10 28
2395	13 9 37 25
2396	13 3 35 12
2397	39 2 22 36
2398	21 27 28 9
2399	20 22 33 17
2400	8 1 4 23
2401	3 15 34 5
2402	40 32 16 20
2403	12 18 14 26
2404	6 33 4 37
2405	27 1 14 5
2406	38 37 20 27
2407	12 10 8 31
2408	19 24 18 10
2409	37 1 21 25
2410	2 3 10 33
2411	12 21 9 15
2412	10 17 30 15
2413	26 25 39 36
2414	3 30 6 19
2415	11 5 25 36
2416	10 39 21 18
2417	33 11 29 32
2418	29 1 6 40
2419	36 14 15 11
2420	17 27 36 13
2421	36 30 13 35
2422	12 27 11 20
2423	27 36 7 34
2424	27 16 31 17
2425	6 16 32 10
2426	37 4 20 7
2427	12 16 5 39
2428	3 25 2 21
2429	21 26 9 28
2430	17 10 29 26
2431	29 9 18 40
2432	27 32 31 18
2433	30 20 13 40
2434	17 23 27 24
2435	3 13 8 25
2436	34 28 5 29
2437	24 29 1 15
2438	5 27 32 39
2439	6 7 12 22
2440	31 36 28 13
2441	12 5 2 25
2442	7 25 12 5
2443	1 31 28 11
2444	10 20 4 23
2445	15 38 9 14
2446	36 39 13 20
2447	5 12 30 29
2448	17 2 33 22
2449	11 2 14 31
2450	4 6 26 16
2451	33 39 28 26
2452	10 8 29 12
2453	38 39 33 25
2454	25 20 33 1
2455	40 29 7 8
2456	30 17 37 3
2457	27 3 33 6
2458	19 29 6 8
2459	33 13 31 1
2460	38 13 34 2
2461	27 26 20 17
2462	20 10 5 3
2463	17 7 20 19
2464	3 6 23 16
2465	34 14 31 36
2466	27 39 36 6
2467	6 34 9 3
2468	26 31 10 5
2469	9 28 17 5
2470	18 33 26 4
2471	15 35 2 6
2472	6 1 22 8
2473	38 32 9 29
2474	5 20 32 21
2475	22 31 26 20
2476	7 6 23 15
2477	39 24 19 32
2478	10 15 6 36
2479	30 24 32 7
2480	25 15 14 27
2481	33 23 5 16
2482	1 33 38 20
2483	9 1 34 30
2484	6 2 10 33
2485	3 36 24 11
2486	39 7 16 2
2487	33 32 28 31
2488	18 23 2 9
2489	37 34 8 40
2490	2 35 36 15
2491	24 19 22 38
2492	40 35 29 26
2493	31 17 1 30
2494	22 20 13 29
2495	12 28 34 40
2496	32 26 7 24
2497	5 1 13 8
2498	17 26 13 19
2499	21 31 3 7
2500	26 33 6 15
2501	35 33 9 8
2502	7 24 14 11
2503	11 32 10 6
2504	38 11 15 28
2505	21 15 6 9
2506	31 12 9 15
2507	22 25 36 35
2508	22 29 13 4
2509	3 27 36 39
2510	27 38 18 3
2511	6 19 22 24
2512	23 40 8 26
2513	23 36 18 31
2514	27 24 18 22
2515	30 21 35 4
2516	13 1 40 24
2517	34 18 2 32
2518	13 27 30 12
2519	4 22 37 6
2520	35 15 3 24
2521	22 16 34 4
2522	22 25 2 33
2523	25 15 31 8
2524	37 19 5 10
2525	16 40 15 38
2526	29 39 20 9
2527	6 35 26 22
2528	28 13 36 26
2529	1 30 20 32
2530	8 6 9 10
2531	14 28 4 7
2532	27 13 11 22
2533	7 35 11 34
2534	36 39 26 12
2535	22 8 9 6
2536	23 30 13 35
2537	30 36 16 32
2538	9 14 22 1
2539	14 11 12 16
2540	20 21 6 14
2541	34 36 3 31
2542	14 16 22 2
2543	4 38 18 32
2544	39 33 13 7
2545	39 22 14 27
2546	8 10 25 31
2547	19 15 1 40
2548	16 3 14 7
2549	25 29 23 14
2550	31 33 24 19
2551	32 3 23 12
2552	25 15 38 3
2553	24 40 29 27
2554	3 34 25 23
2555	11 1 10 20
2556	38 19 30 34
2557	13 27 3 23
2558	3 17 8 7
2559	15 29 40 37
2560	36 13 28 25
2561	1 37 15 27
2562	16 23 38 18
2563	15 5 2 23
2564	13 10 25 15
2565	13 3 9 2
2566	32 33 12 17
2567	13 4 20 16
2568	33 38 25 1
2569	22 26 16 24
2570	19 6 35 37
2571	34 30 22 6
2572	14 13 20 38
2573	5 19 3 37
2574	20 32 17 12
2575	18 19 33 2
2576	15 25 6 17
2577	27 29 30 11
2578	25 13 38 15
2579	17 32 1 16
2580	29 35 3 2
2581	29 34 3 7
2582	8 10 24 12
2583	20 8 19 3
2584	16 12 15 28
2585	3 25 23 40
2586	11 22 28 8
2587	39 5 34 29
2588	22 30 3 16
2589	30 2 25 9
2590	40 39 28 24
2591	6 2 30 13
2592	5 36 33 12
2593	14 32 3 24
2594	36 30 10 34
2595	7 21 28 6
2596	20 13 30 25
2597	37 7 24 9
2598	40 15 29 1
2599	4 24 12 38
2600	4 38 26 20
2601	36 29 22 18
2602	39 3 16 29
2603	36 28 18 12
2604	18 16 4 33
2605	28 9 7 17
2606	4 8 20 13
2607	19 33 23 27
2608	3 32 38 17
2609	30 6 22 19
2610	37 6 10 5
2611	2 38 5 25
2612	1 26 40 18
2613	13 4 27 30
2614	2 4 23 24
2615	5 37 23 38
2616	37 13 11 22
2617	35 19 14 7
2618	4 23 16 18
2619	18 30 11 33
2620	9 23 35 12
2621	20 19 14 29
2622	25 39 14 19
2623	20 30 17 35
2624	15 12 39 40
2625	13 40 26 25
2626	8 34 37 21
2627	3 16 15 26
2628	28 31 30 13
2629	32 2 25 30
2630	23 9 16 13
2631	20 8 3 10
2632	40 2 6 27
2633	10 15 17 12
2634	21 39 40 30
